,,,,,shipping on pcb causes it to jump in price so much. Shipping costs $17.81,,,
Item,Description,Quantity,Unit Price,Total Price,Total (with tax & shipping incl.),Running Total,Link,
PCB,PCB from jlcpcb,5 (jlcpcb minimum),$16.30,$16.30,$36.41,$36.41,https://cart.jlcpcb.com/quote,Cheapest PCB quote I could find
Kailh Choc v1 (70pcs),Low profile switches,1,$18.25,$18.25,$20.21,$56.62,https://www.ebay.com/itm/157157330062,Cheaper than on AliExpress
Seeed Studio XIAO nRF52840,MCU,2,$9.99,$19.98,$22.39,$79.01,https://www.amazon.com/gp/product/B0C6Q67V97?smid=A1YZW40LYQY3L1&psc=1,Cheaper than AliExpress including shipping using holiday discount
,,,,,"The Seeed Studio price is discounted by $5 (price includes discount). If I order after the 31st of December, the price will be $27.93.",,,
Hot Swaps (50pcs),Sockets for Choc v1s,1,$5.50,$5.50,(AliExpress),$79.01,https://www.aliexpress.us/item/3256806423843004.html?spm=a2g0o.cart.0.0.47a538daYBbt9U&mp=1&pdp_npi=5%40dis%21USD%21USD%2011.46%21USD%205.50%21%21USD%205.50%21%21%21%40210328db17669560346357255e1c7d%2112000037825583671%21ct%21US%216953170698%21%211%210&gatewayAdapt=glo2usa,
Hot Swaps (30pcs),Sockets for Choc v1s,1,$0.99 welcome discount),$0.99,(AliExpress),$79.01,https://www.aliexpress.us/item/3256802980434588.html?spm=a2g0o.cart.0.0.47a538daYBbt9U&mp=1&pdp_npi=5%40dis%21USD%21USD%205.63%21USD%200.99%21%21USD%200.97%21%21%21%40210328db17669560346357255e1c7d%2112000024451955236%21ct%21US%216953170698%21%211%210&gatewayAdapt=glo2usa,
1N4148W (100pcs),Diodes,1,$1.48,$1.48,(AliExpress),$79.01,https://www.aliexpress.us/item/3256807716771073.html?spm=a2g0o.cart.0.0.47a538daYBbt9U&mp=1&pdp_npi=5%40dis%21USD%21USD%201.48%21USD%201.48%21%21USD%201.48%21%21%21%40210328db17669560346357255e1c7d%2112000042781108223%21ct%21US%216953170698%21%211%210&gatewayAdapt=glo2usa,
3.7V LiPo batteries (2-pack),1000mah Battery,1,$10.66,$10.66,$18.61 (total for AliExpress),$97.62,https://www.aliexpress.us/item/3256803193874231.html?spm=a2g0o.cart.0.0.47a538datUX9yB&mp=1&pdp_npi=5%40dis%21USD%21USD%2015.23%21USD%2010.66%21%21USD%2010.66%21%21%21%402103126e17669575315265295e8fbd%2112000032368701982%21ct%21US%216953170698%21%211%210&gatewayAdapt=glo2usa,
